variant,units,N,time_s,gflops,comm_s,compute_s
serial,1,256,0.003272,10.255,,
openmp,8,256,0.002000,16.776,,
mpi,8,256,0.002379,14.107,0.002638,0.000618
serial,1,512,0.027716,9.685,,
openmp,8,512,0.013000,20.649,,
mpi,8,512,0.011072,24.244,0.008921,0.006277
serial,1,1024,0.281274,7.635,,
openmp,8,1024,0.115000,18.674,,
mpi,8,1024,0.154710,13.881,0.027148,0.143280
serial,1,2048,5.214179,3.295,,
openmp,8,2048,0.853000,20.141,,
mpi,8,2048,1.348103,12.744,0.074932,1.308121
